googleapis/java-bigquery java-bigquery v2.29.0 google-cloud-bigquery
googleapis/java-bigquerystorage java-bigquerystorage v2.39.1 google-cloud-bigquerystorage-bom
googleapis/java-bigtable java-bigtable v2.24.1 google-cloud-bigtable-bom
googleapis/java-datastore java-datastore v2.16.0 google-cloud-datastore-bom
googleapis/java-firestore java-firestore v3.13.2 google-cloud-firestore-bom
googleapis/java-logging java-logging v3.15.5 google-cloud-logging-bom
googleapis/java-logging-logback java-logging-logback v0.130.17-alpha google-cloud-logging-logback
googleapis/java-storage-nio java-storage-nio v0.126.18 google-cloud-nio
googleapis/java-pubsub java-pubsub v1.123.17 google-cloud-pubsub-bom
googleapis/java-pubsublite java-pubsublite v1.12.10 google-cloud-pubsublite-bom
googleapis/java-spanner java-spanner v6.43.1 google-cloud-spanner-bom
googleapis/java-spanner-jdbc java-spanner-jdbc v2.11.2 google-cloud-spanner-jdbc
googleapis/java-storage java-storage v2.22.5 google-cloud-storage-bom
googleapis/google-auth-library-java google-auth-library-java v1.18.0 google-auth-library
